Title,Company,Skills and Experience
Staff Engineer - Backend,what3words,"Your skills and experience 
 Requirements: 
 8+ years commercial Java development 
 Experience working with a Java web framework (we use Spring for the tech test) 
 Commercial experience working with SQL & DB schema design 
 Full development lifecycle including deployment: we use Docker & Kubernetes 
 Ability to work highly autonomously on significant features over several sprints Able to work directly with PMs/QA/clients to define requirements 
 Keen to own things and work end-to-end on features 
 Optional: 
 Experience working with Python, FastAPI and LLM APIs 
 Experience working with Voice AI Models 
 This role is an excellent growth opportunity for the ideal candidate to develop their experience and career so if you feel you meet most of the requirements and our mission resonates with you, please do apply. 
 The role is based in our centrally located HCMC office. While you can work from the office five days a week if preferred, our Engineering team can choose to work up to two days a week from home. We also offer a six-week remote-work allowance; for up to six weeks a year, you can work from anywhere in the world (as long as you’ve got great WiFi and are happy to work with your main office timezone). 
 Equality, diversity and inclusion at what3words 
 Our mission is to help everyone talk about everywhere, and we believe diverse perspectives make for a better company and better products too. We strongly encourage applications from underrepresented groups and are committed to diversity, equity and inclusion in our hiring processes and company culture. 
 Benefits 
 We offer the following benefits to all permanent employees of what3words: 
 - Competitive salary 
 - Flexible working 
 - 6 week remote working (work from anywhere) policy 
 - 25 days holiday: plus the option to buy more! 
 - Share options 
 - Private health insurance 
 - Wellbeing Days 
 - Generous parental leave policies 
 - Family friendly policies 
 - Employee Assistance Programme (EAP) 
 - Lunch & learn sessions 
 - Team social budget"
"Mid/Senior Backend/Fullstack Java Engineer (Spring, AI)",Seven System Vietnam,"Your skills and experience 
 Having these technical requirements will be your advance 
 Minimum of a bachelor’s degree in software engineering; 
 At least 3 years of experience in Java and Spring Framework; 
 Ability to apply AI in daily work is mandatory; 
 Experience in Kafka and MQTT; 
 Experience in building real time system is a big plus; 
 Willingness to work as a full-stack engineer is a big plus; 
 Ability to create a set of qualifications for a technology solution; 
 Ability to give constructive criticism."
Backend Developer (Node.JS/Golang/Java/Rust/C),Birdeye.so,"Your skills and experience 
 Experience & Background 
 At least 
 5 years of experience 
 as a backend developer, with a proven record of building and maintaining 
 high-load systems 
 . 
 Experience in designing 
 scalable, highly available system architectures 
 to support product growth. 
 Strong experience with databases such as 
 MongoDB, Elasticsearch, or ClickHouse 
 , including query optimization, indexing, sharding, and use of caching ( 
 Redis, Memcached 
 ). 
 Proficiency in at least one backend language: 
 Node.js, Golang, Java, Rust, or C 
 , with the ability to write clean, maintainable, and efficient code. 
 Strong 
 analytical and problem-solving skills 
 , including the ability to analyze business requirements, design optimal solutions, and work independently to resolve complex technical issues. 
 Nice-to-have 
 Understanding of 
 blockchain technology, smart contracts, and the blockchain ecosystem 
 (on-chain/off-chain data). 
 Experience working on or integrating with 
 blockchain projects 
 . 
 Hands-on experience with 
 Linux-based systems 
 , including 
 Nginx, Haproxy, Cloudflare, and CI/CD pipelines 
 . 
 Experience in deploying, maintaining, and troubleshooting systems in 
 production environments 
 ."
Backend Developer (Java/ WebSocket/ Redis/ Kafka),RGP Software Processing,"Your skills and experience 
 2.1. Kinh nghiệm 
 Tối thiểu 3–5 năm kinh nghiệm phát triển backend với Java. 
 Có kinh nghiệm xây dựng hệ thống realtime hoặc xử lý lượng lớn người dùng đồng thời. 
 Ưu tiên ứng viên đã từng làm việc trong game online hoặc hệ thống tương tự. 
 2.2. Java & Concurrency 
 Thành thạo Java 8+ (ưu tiên 11/17). 
 Hiểu rõ: 
 Thread lifecycle 
 Thread pool 
 Synchronization 
 Race condition và thread safety 
 Có kinh nghiệm xử lý logic nhiều người chơi đồng thời trong cùng một room hoặc phiên. 
 2.3. Logic Game & Tính công bằng 
 Có kinh nghiệm xây dựng business logic phức tạp, nhiều trạng thái. 
 Hiểu rõ cách thiết kế state machine cho vòng đời game. 
 Hiểu về randomization, SecureRandom hoặc các cơ chế sinh số ngẫu nhiên. 
 Có khả năng phân tích và kiểm soát phân phối kết quả (probability distribution là lợi thế). 
 Hiểu cách phòng chống exploit và gian lận cơ bản. 
 2.4. Hệ thống & Hiệu năng Có kinh nghiệm làm việc với: 
 Message broker (Kafka hoặc RabbitMQ) 
 Redis hoặc hệ thống cache tương đương 
 PostgreSQL / MySQL / MongoDB 
 Hiểu bottleneck trong hệ thống realtime. 
 Có kinh nghiệm xử lý latency và tối ưu throughput. 
 Ưu tiên ứng viên từng làm hệ thống 10k+ concurrent users. 
 3. Công nghệ sử dụng 
 Java 11/17 
 Spring Boot 
 WebSocket / gRPC 
 Kafka hoặc RabbitMQ 
 Redis 
 *****Tiêu chí đánh giá: 
 Khả năng mô tả rõ luồng xử lý của một game server đã từng xây dựng. 
 Cách xử lý concurrency trong game nhiều người chơi. 
 Hiểu biết về tính công bằng và kiểm soát logic kết quả. 
 Kinh nghiệm xử lý bug phức tạp liên quan đến trạng thái game. 
 Tư duy hệ thống và khả năng phân tích vấn đề production."
Senior Backend Engineer (Nodejs),FireGroup,"Your skills and experience 
 5+ years 
 of backend engineering experience; strong preference for product environments with real users and scale. 
 Strong proficiency in 
 Node.js 
 (advanced level preferred): designing APIs/services, handling concurrency, performance tuning. 
 Solid understanding of 
 API design 
 (structure, validation, error handling, versioning) and backend security fundamentals. 
 Strong software design foundation: 
 OOP, Design Patterns, Clean Architecture 
 ; experience with 
 Microservices 
 (product-dependent). 
 Hands-on experience with 
 Message Queues 
 (e.g., Kafka/RabbitMQ/SQS or equivalent). 
 Experience with (product-dependent): 
 MySQL / PostgreSQL / MongoDB / Redis / Elasticsearch 
 . 
 Ability to write advanced queries, design schemas, understand indexing, and optimize database performance. 
 Strong system thinking, ownership mindset, and ability to drive outcomes end-to-end. 
 Effective cross-functional communication, especially on complex, multi-stakeholder work. 
 Able to read technical documentation confidently; working communication is a plus. 
 Nice-to-have 
 Experience with additional languages such as 
 Python 
 Experience with observability tooling (logging/monitoring/tracing) such as ELK/Prometheus/Grafana (or equivalent). 
 Familiar with 
 AI-assisted coding tools 
 and able to use them responsibly to boost productivity while maintaining quality."
Senior Java AI Backend Engineer (English),HRS Group,"Your skills and experience 
 FOR THIS EXCITING MISSION YOU ARE EQUIPPED WITH... 
 Deep technical expertise in Java and Python, with hands-on experience building scalable, high-performance applications. 
 Strong architectural mindset for designing modular, secure, and resilient microservices systems in a cloud-native environment. 
 Experience with cloud platforms such as AWS or Azure, including deployment, monitoring, and cost optimization. 
 Experience with AI driven solutions and modern frameworks to deliver intelligent, automated workflows. 
 Experience with AI tools for development and testing is a must. 
 Solid understanding of payment systems, compliance, and enterprise-grade security for global deployments. 
 A true product mindset: you think beyond code, focusing on user experience, business impact, and continuous improvement. 
 Ability to thrive in complexity, balancing technical excellence with outstanding user experience. 
 Passion for building SaaS platforms that integrate seamlessly across ecosystems and deliver measurable business impact. 
 Excellent communication skills and fluency in English to collaborate effectively in an international environment."
Backend Engineer (Go/Java),Trusting Social,"Your skills and experience 
 Educational Background: 
 Bachelorâ€™s degree or higher in Computer Science, Engineering, or a related field. 
 Experience: 
 5+ years of software development experience. 
 Solid expertise in Golang (or the confidence to learn it quickly when coming from other similar programming languages). 
 API Design & Development: 
 Proficient in designing and developing RESTful APIs and gRPC interfaces. 
 Experience building backend services optimized for high performance, scalability, and reliability. 
 Database Expertise: 
 Strong database and schema design skills for performance and scalability across both relational and NoSQL databases (e.g., MySQL, PostgreSQL, MongoDB, Redis, Elasticsearch, RocksDB). 
 System Design: 
 Deep understanding of complex system design, design patterns, data structures, algorithms, microservices, and event-driven architecture. 
 Experience with system tuning for high performance and reliability. 
 DevOps & Tooling: 
 Hands-on experience with CI/CD tools such as GitHub workflows and Jenkins. 
 Familiarity with Docker containers and Kubernetes. 
 Knowledge of automated testing practices, caching techniques, and version control systems like Git. 
 Nice to Have: 
 Experience with cloud platforms (AWS, GCP, or Azure). 
 Exposure to or interest in the AI domain with a willingness to leverage AI to enhance team productivity. 
 Experience with microservice architecture is a plus."
"Mid/Sr/Lead .NET Backend Developer (C#, SQL)",NTQ Solution,"Your skills and experience 
 1. Backend: 
 C#/.NET Core for building RESTful APIs 
 Unit/integration testing using xUnit.NET, Moq, WireMock, and Docker 
 2. Cloud & DevOps: 
 Basic understanding of 
 Microsoft Azure cloud platform: Functions, Service Bus, Blob Storage 
 Azure DevOps for source code management (Git), CI/CD pipelines. 
 3. Database: 
 SQL Server, Azure SQL Database 
 4. Skills: 
 Team leadership capability (mentoring, code reviews, task delegation) (nice to have) 
 Fluent in English communication. 
 Ability to document technical decisions 
 Pro-actively collaborate with cross-functional teams in various roles including QAs and stakeholders 
 Nice to have 
 Frontend: Shopify API, Javascript 
 Backend: Dynamics 365, ASP.NET MVC 
 Third party system: EDI (especially X12) format, Datadog 
 Skills: Awareness of fulfilment, supply chain, and order management process"
"Backend Technical Lead ( Storefront, C#, .NET. ASP.NET)",Crossian,"Your skills and experience 
 Education 
 : Bachelor’s degree in Information Technology, Computer Science, or related fields. 
 Experience 
 : 
 At least 7 years of software development experience, with a minimum of 3 years in a Technical Lead or Senior Developer role. 
 Strong backend development experience with deep expertise in: 
 Our Primary Stack: 
 C# 10+ and .NET 8/9. You should be a master of ASP.NET Core (Minimal APIs), EF Core, LINQ. 
 The Polyglot Path: 
 If your background is in Java (17/21, Spring Boot 3) or Go (1.21+, Concurrency/Channels), we want to talk—provided you are ready to pivot your architectural mastery into the .NET ecosystem. 
 Architectural DNA: 
 Regardless of your primary language, you should live and breathe Microservices patterns (Saga, CQRS, Event Sourcing) and Clean Architecture. 
 Hands-on experience in system design with Microservices and Cloud-Native Computing. 
 Deep understanding of Relational database modeling & design with Postgres/MSSQL 
 Having experience in Message Queues with Kafka/RabbitMQ 
 Experience with Docker, Kubernetes, and knowledge of Event-driven Architecture. 
 English proficiency (both written and verbal). 
 Soft Skills 
 : 
 Strong problem-solving skills. 
 Good communication 
 Familiarity with Agile/Scrum 
 Preferred Skills 
 (but not required): 
 Document DB modeling & design with Elasticsearch 
 Object Storages with AWS S3 
 Messaging with Sendgrid, Twilio, AWS SNS,… 
 DevOps, SysOps in AWS and Git CI/CD experience 
 Experience with React.js, Vue.js, or Node.js."
Principal/Lead Backend Engineer (Java/Kotlin),"MONEY FORWARD VIETNAM CO.,LTD","Your skills and experience 
 Must-have: 
 A minimum of 8 years of experience in the development of web applications. 
 A comprehensive understanding of SOLID principles, prevalent design patterns, and industry best practices. 
 Proficiency in Java and Kotlin for backend development, with a willingness to acquire proficiency in Kotlin to produce clear, readable, and maintainable code. 
 Demonstrated experience in container-based development (Docker, docker-compose, Kubernetes). 
 The ability to write comprehensive and maintainable test code is essential. 
 Experience in the utilization, design, and construction of GraphQL and Web Service APIs. 
 Extensive experience with the Spring framework, including Spring Boot, Spring Data, Spring Security, Spring Batch, and Spring Cloud. 
 Knowledge of Domain Driven Development and Onion/Clean Architecture. 
 Substantial experience with MySQL or PostgreSQL, including performance tuning and optimization. 
 Experience in Agile/Scrum software development methodologies. 
 Proven experience in enhancing application security, performance, and operational efficiency. 
 Experience leading projects as a team leader and providing mentorship to team members. 
 A strong sense of ownership and accountability. 
 Nice-to-have: 
 Profound knowledge of security and performance best practices. 
 Extensive knowledge of microservices architecture design and implementation. 
 A strong willingness to learn and cultivate a deep understanding of new concepts. 
 The ability to build and maintain application infrastructure on AWS."
