Title,Company,Skills and Experience
"Senior Backend Developer (Java, Linux, Algorithm)",Sqreem Technologies (VN) Pte. Ltd.,"Your skills and experience 
 A Bachelor degree in computer science or related field 
 Minimum of 2-year experience successfully implementing solutions in applications using Java on Linux environments 
 JavaScript, HTML, DHTML, CSS, other languages are a plus 
 Strong knowledge/experiences on OOP, data structure and algorithm 
 Knowledge on high-availability, high-scalability web applications 
 Other Technologies: Linux, Apache/Nginx, Web Services, TCP/IP, SVN… 
 Detailed and focused on quality 
 Must be self-motivated and able to achieve results 
 Aptitude to learn quickly and work well within a team environment 
 Good knowledge of AI Coding Assistant (Claude Code, Codex, Cursor…) is a big plus"
"Magento Backend Developer (OOP, PHP, MVVM)",TAG Worldwide,"Your skills and experience 
 Required Knowledge & Skills: 
 Experience in Magento 2.1+ is needed, with certifications from Magento preferred 
 Working knowledge of OOP, and PHP needed, and MVVM pattern 
 Ability to follow Magento and best coding practices 
 Advanced English language proficiency preferred 
 Possess a thirst to learn new technical knowledge and grow 
 Ability to be flexible and work on various project types as well as other web development technology is a plus 
 Prior Experience: 
 Minimum of 2 years’ experience working with the Magento back-end. 
 This position is open to both full-time and freelance candidates; however, freelance applicants are preferred."
"Senior Backend Engineer (Java, Spring, English)",GFT Technologies Vietnam,"Your skills and experience 
 Technical Qualifications 
 Minimum 5+ years of relevant experience in software engineering. 
 Java/Kotlin (Kotlin strongly preferred), SpringBoot, JPA, Kafka, Rest APIs. 
 Hands on experience with various Java Web technologies and frameworks Spring (Security, MVC, SpringBoot) JPA, REST API, Maven, Junit test, Mockito, Kafka. 
 Good practical knowledge of design of RDBMS and SQL 
 Understanding of Agile methodologies 
 AI-Augmented Development Skills: 
 Experience with AI-assisted development tools (GitHub Copilot, Claude Code, or similar) 
 Ability to write effective prompts and context for AI code generation 
 Strong code review and verification skills for AI-generated implementations 
 Critical thinking to assess AI suggestions and identify potential issues 
 Expertise in validating AI-generated tests for completeness and edge case coverage 
 Understanding of AI limitations and when to override or refine AI outputs 
 Ability to architect solutions that AI can effectively implement 
 Specific Qualifications 
 Excellent communication and written skills. Be able to work in a team 
 Strong analytical and problem-solving abilities to guide AI assistance 
 Understanding of financial instruments 
 Adaptability and willingness to learn new AI tools and workflows 
 Judgment and discernment in accepting, modifying, or rejecting AI-generated code 
 Essential Skillset 
 Automated unit and integration testing. (jUnit, mockito etc.) 
 Gradle build systems 
 Data structures and algorithms - dictionary, list, set, trees, graphs 
 Control-flow patterns and microservice architecture design 
 Database fundamentals: joins, indexes, foreign keys, primary keys, query optimization 
 Relational DB, NoSQL, graph DB, and ACID properties 
 System design and architectural patterns 
 Protocols & standards (OpenAPI, AVRO, Protobuf) 
 SOLID principles and event-driven architecture 
 DevOps and infrastructure fundamentals 
 Messaging queues, Docker/Compose 
 Kubernetes (pods, ConfigMaps, deployments, services) 
 Git workflows (GitHub), CI/CD pipelines, code quality tools (Sonar) 
 Security fundamentals and secure coding practices 
 Ability to verify security vulnerabilities in AI-generated code 
 Nice to have 
 Advanced AI tool proficiency (Claude Code etc.) 
 Experience integrating AI tools into team workflows 
 Cloud platforms (AWS) 
 Log management tools (Splunk, SumoLogic, ELK) 
 Infrastructure architecture (DNS, load balancers, CDNs) 
 Security: SSL/MTLS, PKI, asymmetric/symmetric encryption, OAuth, JWT 
 GraphQL, Airflow, TypeScript, Python 
 Contribution to open-source projects or AI tool customization 
 Experience with prompt engineering and context optimization 
 (Due to the high volume of applications we receive, we are unable to respond to every candidate individually. If you have not received a response from GFT regarding your application within 10 workdays, please consider that we have decided to proceed with other candidates. We truly appreciate your interest in GFT and thank you for your understanding.)"
Senior Backend Engineer (AI) - Up to 55k,Crossian,"Your skills and experience 
 Bachelor’s degree in computer programming, computer science, or a related field 
 At least 3+ years of development experience 
 Proficient in Relational database modeling & design with Postgres/MSSQL 
 Knowledge of Microservices, Clean-code, Clean-Architecture & SOLID principles 
 Having experience in Message Queues with Kafka/RabbitMQ 
 Having experience with Docker, Kubernetes 
 Understanding of Agile/Scrum methodologies 
 English Professional working proficiency 
 Preferred 
 Proficient in backend technologies: Entity Framework Core, LINQDocument DB modeling & design with Elasticsearch 
 Object Storages with AWS S3 
 Messaging with Sendgrid, Twilio, AWS SNS,… 
 Having experience in Cloud Native Computing 
 DevOps, SysOps in AWS and Git CI/CD experience"
"Middle/Senior Backend Engineer(English, Fullstack plus)","Porters Asia Vietnam Co., Ltd.","Your skills and experience 
 Your skills and experience 
 Experience as a 
 Backend Developer 
 is required; experience with frontend technologies is a plus. 
 Experience in designing, implementing, and testing applications using technologies such as Java. 
 In-depth knowledge of popular Java frameworks like Spring MVC, Spring Boot, Microservice, JPA, Rest API. 
 Proficiency in one of the following: Java, Javascript, Typescript, NodeJS, ReactJS, NextJS, VueJS, Angular, Python, PHP 
 Strong knowledge of SQL, MySQL or similar databases. 
 Worked on Java build & dependency management using tools like Maven, Gradle. 
 Experience with Object-Oriented Design (OOD). 
 Experience with Test-Driven Development (TDD). 
 Strong delegation and time management skills, problem-solving abilities, teamwork skills. 
 English: Intermediate to Upper intermediate level. 
 Bachelor’s degree in Computer Science, Information Technology, Engineering or relevant field. 
 Nice to have 
 Experience with Docker, Jenkins, AWS, Cloud and SaaS will be a plus. 
 Proficiency in Japanese will be a significant advantage."
"Back End Developer (Golang, SQL, NoSQL)",TEL4VN,"Your skills and experience 
 Bachelor's degree in Computer Science, Software Engineering, or related field. 
 Minimum of 1-2 years of experience in back end development. 
 Proficiency in Golang and associated libraries and tools for backend development. 
 Require at least 1-2 years of experience in Golang. 
 Experience with microservices architecture and designing scalable systems - must have 
 Familiarity with message queuing systems (e.g., RabbitMQ, Kafka) and asynchronous communication patterns - must have 
 Experience with websockets for real-time communication - nice to have 
 Solid understanding of both SQL and NoSQL databases, including schema design and query optimization - must have 
 Knowledge of gRPC for efficient communication between microservices - Nice to have 
 Experience with CRM software or VoIP telephony systems is a plus. 
 Excellent problem-solving and analytical skills with a keen attention to detail. 
 Strong communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams. 
 Proven track record of designing and developing scalable, robust, and high-performance software solutions"
(HCM) Senior Backend Engineer (AI/Data Platform),One Mount Group,"Your skills and experience 
 4+ years of experience as a Backend Engineer. Proficiency in Java (Java Core/Spring Framework/Spring Boot) 
 Good understanding of Data Structures and Algorithms 
 Strong understanding of OOP and SOLID principles. 
 Expertise in SQL/ NoSQL Databases (MySQL, PostgreSQL, MongoDB) 
 Experience with RESTful APIs, Microservices 
 Familiarity with Redis, Kafka 
 Experience in high-performance, low-latency systems, handling large-scale data processing and real-time transactions 
 Experience with Docker/Kubernetes and Cloud Infrastructure is a plus 
 Experience with Agile or Scrum software development methodologies"
"Senior Back-End Developer (Python, AI/ML, Integration)",Simpson Strong-Tie Vietnam,"Your skills and experience 
 If you can do everything listed above, you’ve got what it takes. Perhaps some of the following would be helpful too: 
 Background: 
 Bachelor's degree in Computer Science 
 TOEIC 600 or Relevant 
 5+ years’ professional experience in software development role. 
 3+ years’ experience as a Full Stack Developer with in-depth knowledge of Python, C#, .NET backend technologies. 
 Technical Skill: 
 Strong proficiency in Python, C#/.NET backend engineering. 
 Proficient in Web Development, REST APIs, Database (SQL/NoSQL), and Unit Testing. 
 Strong experience in solid debugging, monitoring, performance tuning, and reliability engineering skills. 
 Experience in microservices, event-driven, and distributed systems. 
 Experience in Azure Cloud services (Functions, Storage, Event systems, Machine Learning, …). 
 Experience in Docker for packaging and local development. 
 Proficient in source code control (Git), CI/CD, deployment, and automation workflows. 
 Working knowledge of Python, especially computer vision or integration tasks is a plus. 
 Experience in AI integration and transforming them into production logic is a plus. 
 Experience in front-end frameworks (e.g. React, Angular, Vue) is a plus. 
 Experience in leading software development teams (technical, team or project leader) is a plus. 
 Experience in construction tech (CAD/PDF/Blueprint data) is a plus. 
 Other Requirements 
 Ability to communicate technical outputs to non-technical stakeholders 
 Strong written and spoken English 
 Bonus: Experience with BIM (IFC/Revit), PDF parsing, GIS/spatial data, or construction/proptech domains."
Caspeco - Backend Developer (NodeJS | Automation & AI),Scandinavian Software Park,"Your skills and experience 
 Desired skills and experience: 
 Strong engineering background with a focus on building automation, integrations and operational tooling. 
 Experience in backend development, specifically with Node.js and scripting to maintain and modernize existing services and operational scripts. 
 Experience with data migration, automated validation and building internal operational dashboards/tools. 
 Proven experience in building internal system integrations and working with APIs/webhooks. 
 A strong interest or experience in AI-native development workflows and leveraging AI tools. 
 Excellent in verbal and written English."
Mid/Senior Java Backend Developer (Spring Boot),LEAP,"Your skills and experience 
 WHAT WE EXPECT 
 3+ years (Mid) / 5+ years (Senior) of backend development experience 
 Strong command of Java and the Spring Boot ecosystem 
 Solid knowledge of microservices architecture, API design, and relational databases 
 BIG PLUS 
 Hands-on experience with Kafka and/or Redis 
 Understanding of application security principles 
 Prior experience in fintech or regulated industries 
 WHAT YOU GET 
 Build systems that operate at real banking scale 
 Work in a strong, engineering-focused team culture 
 Competitive compensation and benefits 
 IMPORTANT NOTE 
 ⚠ Important: Due to banking-grade security policies, AI coding tools integrated into editors — such as Cursor, GitHub Copilot, or similar — are not permitted in this environment. ChatGPT (web version) may be used within allowed limits."
